ID;RATES;UIT
aaemilio;334.691;0.19047619
abdbouja;329.889;0.287482806
abdelboi;191.742;0.445945946
abdellme;261.243;0.256153145
abdhzian;360.678;0.242582897
abzianid;300.045;0.23364486
acamposi;200.891;0.196428571
accerve;284.747;0.299465241
acoaless;127.571;0.62
adrcerme;210.95;0.360310421
adriaceg;298.804;0.216393443
adriamaq;211.657;0.255376344
afeladel;278.738;0.17492163
afrasque;222.472;0.241860465
aidelrio;261.078;0.275362319
aihuerta;367.655;0.124832215
ajauquil;355.825;0.140781108
alalexes;250.461;0.289473684
alaserg;171.099;0.186666667
albamarr;338.507;0.0626703
albnmart;284.149;0.24260355
alejanfn;211.359;0.50887574
alfocone;246.824;0.156743621
alfomsan;196.111;0.463126844
almayorr;275.875;0.263228399
alvalcar;274.725;0.106425703
alvarhfr;438.184;0
alvaroog;222.749;0.357277883
alvaters;294.003;0.104297994
alvcastg;172.916;0.381578947
amadorrz;400.253;0.501992032
amarinln;212.254;0.282051282
amcamado;353.957;0.274261603
amgrod;222.176;0.209677419
amoyapad;239.122;0.47
anaruin;347.26;0
anasanzt;198.07;0.18699187
anavanes;217.033;1
anburlam;305.529;0.264264264
andreulo;267.44;0.169354839
angelgme;169.719;0.384236453
ankelaij;338.434;0.18657299
annidaim;349.059;0.201892744
anouguiz;219.039;0.288659794
antogarw;238.07;0.370473538
antonjma;263.893;0.176156584
antotort;258.916;0.074074074
anunesba;260.271;0.275544389
anyegalf;277.021;0.195065978
arayalam;329.076;0.12406015
arelgvan;305.079;0.199105145
ariaspal;233.611;0.410358566
aroxanag;186.145;0.390862944
arroboga;335.669;0.127761768
artmarli;264.212;0
aucacjen;419.921;0.183864916
ayazizih;343.307;0.261111111
azamboun;127.326;0.32038835
azekrisa;212.385;0.272113437
bachelot;187.352;0.444444444
bahidahg;319.64;0.160164271
bailvice;281.092;0.213063764
baltasma;241.66;0.122526636
banoanto;291.283;0.199680511
banosrma;251.023;0.191037736
barbepau;438.621;0.251256281
barcmmar;201.131;0.127272727
barrurod;326.027;0.554936306
beljcarm;229.379;0.274566474
belkmoha;218.416;0.190028222
benhafss;195.201;0.217751479
berramhm;349.653;0.326153846
biengomb;397.944;0.050802139
bmartseb;255.579;0.379146919
bmendoja;269.392;0.397862233
bnoruizb;120.22;0.324675325
boizacam;215.947;0.472527473
bouissig;295.561;0.29047619
boutkhta;273.407;0.271879484
brubijen;330.511;0.172006745
bulpedro;459.994;0.388059701
bveraval;263.621;0.223478261
byjimene;255.927;0.286585366
cabalbal;169.303;0.169811321
cahcarlo;156.757;0.364806867
caizapia;414.017;0.20035461
calvomun;277.134;0.239702903
canofema;211.427;0.708039492
canovlak;268.977;0.252475248
caparosc;256.266;0.319672131
carcampi;225.013;0.263157895
cardozoy;229.91;0.286885246
carmliqu;330.444;0.195786865
carpnjos;241.05;0.345679012
carrimap;280.882;0.192882562
carrjanj;221.902;0.301542777
castiuaa;248.797;0.396226415
cazajuaq;162.114;0.181208054
ccastelj;286.884;0.3855254
cdorinao;227.778;0.153846154
chaimebe;119.011;0.467889908
clyanira;309.249;0.370833333
cmchamor;356.097;0.32284041
cocaquod;207.266;0.35483871
crespota;427.527;0.060240964
